ID,Company.Name,Subsidiary.Name,Search,Share,Company.Type,Source,Notes,Country.of.Headquarters,Rystad.Upstream.Industry.Segment,Type.of.Subsidiary,Hydrocarbons.Production.in.2022..Oil..Gas..Condensate..NGL.,Production.Countries,Fracking,Tar.Sands,Coalbed.Methane,Extra.Heavy.Oil,Ultra.Deepwater,Arctic,Unconventional.Production,Resources.under.Development.and.Field.Evaluation.as.of.September.2023,Expansion.Countries,Unconventional.Expansion,X1.5�.C.Expansion.Overshoot.based.on.IEA.NZE..2021.2022.,Exploration.CAPEX.3.year.average..2021.2023.,Exploration.Countries,Fossil.Fuel.Share.of.Revenue,Data.Description,Reporting.Year,Project.Names,Project.Risks,Project.Descriptions,Remarks,GOGEL.ID,Upstream.Row.ID,RIC
370,Repsol SA,Tramparese,Tramparese,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Repsol SA,Ibereolica,Ibereolica(IbereÃ³lica),"0,5",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Repsol SA,Hecate,Hecate,"0,4",Acquisition,Refinitiv; https://www.repsol.com/en/press-room/press-releases/2021/repsol-enters-the-us-renewables-market-with-the-purchase-of-40-of-project-developer-hecate-energy/index.cshtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Repsol SA,Hecate Frye,Hecat Frye,1,Acquisition,https://www.repsol.com/en/press-room/press-releases/2022/repsol-starts-producing-electricity-at-jicarilla-2-its-first-us-solar-plant/index.cshtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Repsol SA,CIDE HC,CIDE HC,"0,5",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Repsol SA,Viesgo,Viesgo,1,Acquisition,Refinitiv; https://www.repsol.com/en/press-room/press-releases/2018/repsol-completes-purchase-of-viesgos-assets-and-customers/index.cshtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Shell plc,Savion,Savion,1,Acquisition,https://www.shell.com/news-and-insights/newsroom/news-and-media-releases/2021/shell-acquires-savion.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Shell plc,Solarenergi,Solarenergi,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Shell plc,ERM Power,ERM Power,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Shell plc,Hudson,Hudson,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Shell plc,InterGen,InterGen,"0,5",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Shell plc,Whitewater,Whitewater,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Shell plc,Mountainview,Mountainview,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Shell plc,NedPower,NedPower,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Shell plc,Llano Estacado,Llano Estacado,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Shell plc,Limejump,Limejump,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Shell plc,Shapoorji,Shapoorji,1,Acquisition,Refinitiv; https://www.shapoorjipallonji.com/pdfs/press-releases/Shapoorji%20Pallonji%20Infra%20and%20Actis%20finalize%20strategic%20transaction%20of%20Solar%20Power%20assets%20-%2031.03.2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Shell plc,ESCO Pacific,ESCO Pacific,"0,49",Acquisition,Refinitiv; https://www.pv-tech.org/shell-buys-49-stake-in-esco-pacific/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Shell plc,Nextkraftwerke,Nextkraftwerke,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Shell plc,Noordzeewind,Noordzeewind,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Shell plc,Inspire,Inspire,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Shell plc,Daystar,Daystar,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Shell plc,Isemaren,Isemaren,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Shell plc,WestWind,WestWind,"0,49",Acquisition,Refinitiv; https://www.shell.com.au/media/2022-media-releases/shell-completes-49-percent-acquisition-of-wind-farm-developer-westwind.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Shell plc,Sprng,Sprng,1,Acquisition,Refinitiv; https://www.shell.com/news-and-insights/newsroom/news-and-media-releases/2022/shell-to-acquire-sprng-energy-group-one-of-indias-leading-renewable-power-platforms.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Shell plc,Silicon Ranch,Silicon Ranch,"0,44",Acquisition,Refinitiv; https://www.siliconranch.com/stories/silicon-ranch-completes-transaction-with-shell/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,SNGN Romgaz SA,Electrocentrale Bucaresti,Electrocentrale Bucaresti,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Tokyo Gas Co Ltd,Heolios,Heolios,"0,5",Acquisition,https://www.tokyo-gas.co.jp/Press_e/20191212-03e.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Tokyo Gas Co Ltd,Ecogen Brasil,Ecogen Brasil,"0,5",Acquisition,Refinitiv; https://internationalpress.jp/2012/11/17/mitsui-y-enac-compran-la-brasilena-ecogen-proveedora-de-servicios-energeticos/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Tokyo Gas Co Ltd,Shonai,Shonai,"0,3",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Tokyo Gas Co Ltd,MyEnergy,MyEnergy,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Tokyo Gas Co Ltd,T-Power,T-Power,"0,27",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Tokyo Gas Co Ltd,Eastern Power & Electric,Eastern Power & Electric,"0,28",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Tokyo Gas Co Ltd,Pacifico Energy,Pacifico Energy,"0,5",Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Tokyo Gas Co Ltd,Renova,Renova,"0,13",Acquisition,Refinitiv; https://www.argusmedia.com/en/news-and-insights/latest-market-news/2553429-tokyo-gas-adds-to-japan-s-renewables-with-renova-stake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,TotalEnergies SE,Direct Energie,Direct Energie,1,Acquisition,Refinitiv; https://en.wikipedia.org/wiki/Total_Direct_%C3%89nergie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,TotalEnergies SE,Tenesol,Tenesol,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,TotalEnergies SE,Blue Raven,Blue Raven,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,TotalEnergies SE,Eden Renewables India,Eden,"0,5",Acquisition,https://eden-re.com/about-us/; https://edf-renouvelables.com/en/communiques/eden-renewables-india-increases-its-portfolio-with-1350-mwp-of-new-solar-photovoltaic-power-plants/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,TotalEnergies SE,Lampiris,Lampiris,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,TotalEnergies SE,Adani Green Energy Ltd,Adani,0.5,Acquisition,https://totalenergies.com/media/news/press-releases/india-total-expands-its-partnership-adani-renewables-and-acquires-50-2-gw-solar-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,TotalEnergies SE,Clearway Energy Group (CEG),Clearway,0.5,Acquisition,https://totalenergies.com/media/news/press-releases/united-states-totalenergies-acquires-50-clearway-5th-largest-us-renewable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,TotalEnergies SE,EMV,EMV,1,Acquisition,https://totalenergies.com/system/files/documents/2024-03/totalenergies_universal-registration-document-2023_2023_en_pdf.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,TotalEnergies SE,Mastil Solar,Mastil Solar,1,Acquisition,https://totalenergies.com/system/files/documents/2024-03/totalenergies_universal-registration-document-2023_2023_en_pdf.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,TotalEnergies SE,Mauricio Solar,Mauricio Solar,1,Acquisition,https://totalenergies.com/system/files/documents/2024-03/totalenergies_universal-registration-document-2023_2023_en_pdf.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,TotalEnergies SE,Mulilo Prieska PV (RF) Proprietary Limited,Mulilo,0.27,Acquisition,https://totalenergies.com/system/files/documents/2024-03/totalenergies_universal-registration-document-2023_2023_en_pdf.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,TotalEnergies SE,Tejo Solar,Tejo Solar,1,Acquisition,https://totalenergies.com/system/files/documents/2024-03/totalenergies_universal-registration-document-2023_2023_en_pdf.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,TotalEnergies SE,Vents D’Oc,Vents D’Oc,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,TotalEnergies SE,Quadra,Quadra(Quadran),1,Acquisition,Refinitiv; https://www.totalenergies.fr/collectivites/paroles-d-expert/actualites/totalenergies/quadran-rejoint-totalenergies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,TotalEnergies SE,8point3,8point3,"0,21",Acquisition,Refinitiv; https://newsroom.sunpower.com/2018-02-05-8point3-the-Joint-Venture-Yieldco-of-First-Solar-and-SunPower-Enters-into-a-Definitive-Agreement-to-be-Acquired-by-Capital-Dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,TotalEnergies SE,Poweo,Poweo,1,Acquisition,Refinitiv; https://www.energyprice.be/blog/acquisition-poweo-total/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,TotalEnergies SE,Eren,Eren,1,Acquisition,Refinitiv; https://totalenergies.com/media/news/press-releases/electricity-totalenergies-fully-acquires-total-eren-after-successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,TotalEnergies SE,Casa dos Ventos,Casa dos Ventos,"0,34",Acquisition,Refinitiv; https://totalenergies.com/media/news/press-releases/totalenergies_partners_with_casa_dos_ventos_to_jointly_develop_renewable_energy_portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,TotalEnergies SE,Novenergia,Novenergia,1,Acquisition,Refinitiv; https://www.reuters.com/article/idUSL8N21Q1T4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,TotalEnergies SE,Sunpower,Sunpower,0.5,Acquisition,Refinitiv; https://www.spglobal.com/marketintelligence/en/mi/country-industry-forecasting.html?id=1065929483; https://en.wikipedia.org/wiki/SunPower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Vedanta Resources Ltd,Meenakshi,Meenakshi,1,Acquisition,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Government of Abu Dhabi,Globalfoundries Europe Ltd,Globalfoundries,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Government of Abu Dhabi,Chengdu Jiaxin Technology Co Ltd,Chengdu Jiaxin,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Government of Abu Dhabi,Generacion Electrica Peninsular SA,Generacion Electrica Peninsular SA,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Government of Abu Dhabi,Suresa Retama SL,Suresa,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Government of Abu Dhabi,Servicios Energeticos De Alta Eficiencia SA,Servicios Energeticos De Alta Eficiencia SA,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Government of Abu Dhabi,Cogeneracion de Tenerife SAU,Cogeneracion de Tenerife SAU,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Government of Abu Dhabi,Emirates Nuclear Energy Corp,Emirates Nuclear Energy Corp,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Government of Abu Dhabi,Nawah Energy Company PJSC,Nawah,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Government of Abu Dhabi,Sweihan Energy Holding Company PJSC,Sweihan,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Government of Abu Dhabi,Abu Dhabi National Energy Company PJSC,Abu Dhabi National Energy Company PJSC,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Government of Abu Dhabi,Taweelah Asia Power Company PSC,Taweelah,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Government of Abu Dhabi,Al Ain Distribution Co JSC,Al Ain,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Government of Abu Dhabi,Abu Dhabi Distribution Company P S C,Abu Dhabi Distribution Company P S C,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Government of Abu Dhabi,Ruwais Power Holding Co,Ruwais,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Government of Abu Dhabi,Union Power Holding Company PJC,Union Power Holding Company PJC,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Government of Abu Dhabi,Takoradi International  Co,Takoradi,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Government of Abu Dhabi,Abu Dhabi Transmission & Despatch Co PJSC,Abu Dhabi Transmission & Despatch Co PJSC,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Government of Abu Dhabi,Gulf Total Tractebel Power Co PJSC,Tractebel,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Government of Abu Dhabi,Fujairah Water and Electricity Co,Fujairah,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Government of Abu Dhabi,Emirates Semb Corp Water and Power Company PJSC,Emirates Semb Corp Water and Power Company PJSC,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Government of Abu Dhabi,Almirfa Power Company PJSC,Almirfa,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Government of Abu Dhabi,Mirfa International Power and Water Company PJSC,Mirfa,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Government of Abu Dhabi,Shuweihat CMS International Power Co PJSC,Shuweihat,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Government of Abu Dhabi,Emirates CMS Power Co PJSC,Emirates CMS Power Co PJSC,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Government of Abu Dhabi,Abu Dhabi Future Energy Company Pjsc,Abu Dhabi Future Energy Company Pjsc,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Government of Abu Dhabi,Shams Power Company PJSC,Shams,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Government of Abu Dhabi,Vetroelektrane Balkana doo Beograd,Vetroelektrane,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Government of Abu Dhabi,Abu Dhabi Water and Electricity Authority,Abu Dhabi Water and Electricity Authority,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Government of Algeria,Shariket Govt,Shariket,0.5,Sister,Refinitiv; https://www.africa-energy.com/news-centre/article/ge-iberdrola-build-koudiet-eddraouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Government of Algeria,Sonelgaz,Sonelgaz,1,Sister,https://en.wikipedia.org/wiki/Sonelgaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Government of Dubai,Dubai Electricity and Water Authority PJSC,Dubai Electricity and Water Authority(DEWA),0.82,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Government of Dubai,Palm District Cooling LLC,Palm,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Government of Dubai,Shuaa Energy 2 PSC,Shuaa,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Government of Dubai,Noor Energy 1 PSC,Noor,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Government of Dubai,Empower FM LLC,Empower,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Government of Dubai,BD4 Group GmbH,BD4,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Government of India,Nuclear Power Corp of India Ltd,Nuclear Power Corp of India Ltd,1,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Government of India,Solar Energy Corporation of India Ltd,Solar Energy Corporation of India Ltd,1,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Government of India,Damodar Valley Corp,Damodar,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Government of India,Power Grid Corporation of India Ltd,Power Grid Corporation of India Ltd,0.5134,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Government of India,Powergrid Narela Transmission Ltd,Narela,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Government of India,Powergrid Ajmer Phagi Transmission Ltd,Ajmer,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Government of India,Powergrid NM Transmission Ltd,Powergrid NM Transmission Ltd,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Government of India,POWERGRID Warora Transmission Ltd,Warora,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Government of India,Powergrid Rampur Sambhal Transmission Ltd,Rampur,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Government of India,Powergrid Fatehgarh Transmission Ltd,Fatehgarh,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Government of India,Powergrid Varanasi Transmission System Ltd,Varanasi,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Government of India,Khavda Ii-B Transmission Ltd,Khavda,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Government of India,Ramgarh II Transmission Ltd,Ramgarh,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Government of India,Ananthpuram Kurnool Transmission Ltd,Ananthpuram,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Government of India,Powergrid Himachal Transmission Ltd,Himachal,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Government of India,Vataman Transmission Ltd,Vataman,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Government of India,Powergrid Jabalpur Transmission Ltd,Jabalpur,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Government of India,Powergrid Bhind Guna Transmission Ltd,Bhind,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Government of India,Grid Controller of India Ltd,Grid Controller of India Ltd,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Government of India,Powergrid Vemagiri Transmission Ltd,Vemagiri,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Government of India,Vizag Transmission Ltd,Vizag,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Government of India,BEL Optronic Devices Ltd,Optronic,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Government of India,Deoghar Mega Power Ltd,Deoghar,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Government of India,PFC Projects Ltd,PFC,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Government of India,POWERGRID BHADLA SIKAR TRANSMISSION LIMITED,Bhadla,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Government of India,Kishtwar Transmission Ltd,Kishtwar,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Government of India,Powergrid Aligarh Sikar Transmission Ltd,Aligarh,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Government of India,Koppal-Narendra Transmission Ltd,Koppal-Narendra,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Government of India,Jharkhand Infrapower Ltd,Jharkhand,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Government of India,Bihar Infrapower Ltd,Bihar,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Government of India,Orissa Integrated Power Ltd,Orissa,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Government of India,Cheyyur Infra Ltd,Cheyyur,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Government of India,Coastal Maharashtra Mega Power Ltd,Maharashtra,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Government of India,Mandar Transmission Ltd,Mandar,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Government of India,Vemagiri II Transmission Ltd,Vemagiri,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Government of India,Powergrid Er Ner Transmission Ltd,Er Ner,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Government of India,Facor Power Ltd,Facor,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Government of India,Chandil Transmission Ltd,Chandil,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Government of India,Powergrid Sikar Transmission Ltd,Sikar,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Government of India,Bidar Transmission Ltd,Bidar,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Government of India,MP Power Transmission Package-I Ltd,MP Power Transmission Package-I Ltd,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Government of India,Koderma Transmission Ltd,Koderma,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Government of India,Gadag Transmission Ltd,Gadag,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Government of India,Nellore Transmission Ltd,Nellore,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Government of India,Coastal Tamil Nadu Power Ltd,Tamil,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Government of India,Meenakshi Energy Ltd,Meenakshi,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Government of India,CIL Solar PV Ltd,CIL Solar,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Government of India,Mahanadi Basin Power Ltd,Mahanadi,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Government of India,NTPC Ltd,NTPC,0.511,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Government of India,Nabinagar Power Generating Co Ltd,Nabingar,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Government of India,North Eastern Electric Power Corp Ltd,North Eastern Electric Power Corp Ltd,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Government of India,Patratu Vidyut Utpadan Nigam Ltd,Patratu,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Government of India,Bharat Heavy Electricals Ltd,Bharat(BHEL),0.6317,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Government of India,NLC India Ltd,Neyveli(NLC),0.792,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Government of India,HPCL Biofuels Ltd,HPCL,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Government of India,NHPC Ltd,NHPC,0.7095,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Government of India,Bundelkhand Saur Urja Ltd,Bundelkhand,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Government of India,Narmada Hydroelectric Development Corp Ltd,Narmada(NHDC),NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Government of India,Ratle Hydroelectric Power Corporation Ltd,Ratle,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Government of India,Loktak Downstream Hydroelectric Corp Ltd,Loktak,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Government of India,Lanco Teesta Hydro Power Ltd,Lanco,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Government of India,Chenab Valley Power Projects Pvt Ltd,Chenab,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Government of India,Energy Efficiency Services Ltd,Energy Efficiency Services Ltd,0.9999,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Government of India,Edina Ltd,Edina,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Government of India,EPSLTrigeneration Pvt Ltd,EPSLTrigeneration,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Government of India,SJVN Ltd,SJVN,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Government of India,THDC India Ltd,THDC,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Government of Indonesia,PT Perusahaan Listrik Negara (Persero),Perusahaan(Persero|PLN),1,Sister,https://en.wikipedia.org/wiki/Perusahaan_Listrik_Negara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Government of Iraq,Al Zawraa General Co,Al Zawraa,NA,Sister,Refinitiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
